id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,pulled_at,market_cap_tier
13855,Ethereum Name Service,ENS,ethereum-name-service,417,2021-11-09T01:31:29.000Z,"['dao', 'ethereum-ecosystem', 'governance', 'solana-ecosystem', 'web3', 'binance-ecosystem', 'binance-listing']",,36481773.16184348,100000000.0,False,,87,,,,2025-07-01T18:26:00.000Z,18.07229191280862,36433474.97245347,-21.726,-0.46293823,-4.67235642,-4.21235616,-13.28497162,-4.90391374,11.73798202,659309254.0777024,0.0202,1807229191.28,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
2416,Theta Network,THETA,theta-network,248,2018-01-17T00:00:00.000Z,"['media', 'vr-ar', 'communications-social-media', 'ai-big-data', 'distributed-computing', 'content-creation', 'entertainment', 'sharing-economy', 'smart-contracts', 'video', 'huobi-capital-portfolio', 'web3', 'layer-1', 'depin', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",1000000000.0,1000000000.0,1000000000.0,False,,88,,,,2025-07-01T18:26:00.000Z,0.6509605064498651,15422738.95139763,-32.5986,-0.94262601,-5.13289776,-4.73383096,-13.66794268,-14.8833505,-22.02203452,650960506.4498651,0.02,650960506.45,,2025-07-01T18:26:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
29270,Aerodrome Finance,AERO,aerodrome-finance,338,2024-02-02T07:15:19.000Z,"['defi', 'amm', 'base-ecosystem', 'binance-alpha', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,845839400.3302478,1670330639.9426827,True,,89,159975820.01,122223268.40321393,,2025-07-01T18:26:00.000Z,0.7640108886178788,42927816.19515434,-32.8452,0.02483216,-8.7170187,-9.91933929,43.93296882,12.54713981,82.01657416,646230511.8743263,0.0198,1276150796.51,,2025-07-01T18:26:00.000Z,27716.0,Base,TBA,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
8000,Lido DAO,LDO,lido-dao,535,2020-12-15T00:00:00.000Z,"['defi', 'dao', 'ethereum-ecosystem', 'three-arrows-capital-portfolio', 'solana-ecosystem', 'paradigm-portfolio', 'terra-ecosystem', 'arbitrum-ecosystem', 'liquid-staking-derivatives', 'optimism-ecosystem', 'standard-crypto-portfolio', 'egirl-capital-portfolio', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",,896960282.0157413,1000000000.0,False,,90,896960282.02,634781960.3300675,0.0279782,2025-07-01T18:26:00.000Z,0.7077035327590051,59049265.99739662,-19.3071,-0.72013203,-5.73840895,-1.27907027,-16.21866649,-18.4864138,-19.10478641,634781960.3270537,0.0195,707703532.76,22688451031.90577,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
8425,JasmyCoin,JASMY,jasmy,306,2021-02-11T00:00:00.000Z,"['iot', 'ethereum-ecosystem', 'dwf-labs-portfolio', 'binance-ecosystem', 'binance-listing']",50000000000.0,49444999677.16958,50000000000.0,False,,91,,,,2025-07-01T18:26:00.000Z,0.01274399401034347,32999391.05170043,16.1275,-1.19109963,-3.20046186,-5.5568063,-17.11055815,-25.20152799,19.58562926,630126779.727284,0.0193,637199700.52,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
1437,Zcash,ZEC,zcash,420,2016-10-29T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,16723464.19085043,16717818.87835043,False,,92,,,,2025-07-01T18:25:00.000Z,36.64045832715987,18191599.42362373,-74.6183,0.19501897,-6.25708692,-14.03355615,-27.83303044,0.23743886,-8.36162474,612755392.7706054,0.0188,769449624.87,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
7326,DeXe,DEXE,dexe,127,2020-10-07T00:00:00.000Z,"['asset-management', 'ai-big-data', 'defi', 'dao', 'ethereum-ecosystem', 'bnb-chain-ecosystem', 'binance-ecosystem', 'binance-listing']",,83733425.74162056,96504599.33609451,False,,93,36466824.0,266070931.18697262,,2025-07-01T18:26:00.000Z,7.296246341249038,11485121.1184145,-48.1482,-0.32902066,-3.07015419,-5.4814814,-48.45591689,-44.37899143,-50.07757947,610939701.207547,0.0187,704121329.82,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
7080,Gala,GALA,gala,528,2020-09-16T00:00:00.000Z,"['collectibles-nfts', 'gaming', 'binance-smart-chain', 'polygon-ecosystem', 'play-to-earn', 'layer-1', 'dwf-labs-portfolio', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50000000000.0,45101734222.59386,45101734222.59386,False,,94,37173569138.97,498143946.3338316,,2025-07-01T18:26:00.000Z,0.013400487439652777,67784118.34728645,-22.1527,-1.48238539,-5.88446865,-4.81327511,-19.77833955,-21.05832254,-14.30217891,604385222.9564267,0.0185,670024371.98,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xd1d2Eb1B1e90B638588728b4130137D262C87cae,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
6210,The Sandbox,SAND,the-sandbox,661,2020-08-05T00:00:00.000Z,"['communications-social-media', 'collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'polygon-ecosystem', 'play-to-earn', 'animoca-brands-portfolio', 'alleged-sec-securities', 'binance-ecosystem', 'binance-listing']",,2573289190.2233224,3000000000.0,False,,95,,,,2025-07-01T18:26:00.000Z,0.23096077886644586,36974238.31978931,-32.8921,-0.83565099,-3.84836448,-9.48278217,-15.28628341,-23.69270382,-15.86074097,594328875.6225843,0.0182,692882336.6,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
16086,BitTorrent [New],BTT,bittorrent-new,194,2019-01-31T00:00:00.000Z,"['platform', 'distributed-computing', 'defi', 'filesharing', 'interoperability', 'staking', 'ethereum-ecosystem', 'tron-ecosystem', 'storage', 'binance-launchpad', 'binance-labs-portfolio', 'web3', 'alleged-sec-securities', 'depin', 'tron20-ecosystem', 'binance-ecosystem', 'binance-listing']",,986061142857000.0,990000000000000.0,False,,96,,,,2025-07-01T18:26:00.000Z,5.937713831060933e-07,9306978.92136907,-27.0455,-0.10855873,-2.9541477,-3.55945865,-13.5445345,-16.62354311,-10.24168587,585494888.6213759,0.018,587833669.28,,2025-07-01T18:26:00.000Z,1958.0,Tron20,TRX,tron,TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
1720,IOTA,IOTA,iota,194,2017-06-13T00:00:00.000Z,"['dag', 'medium-of-exchange', 'communications-social-media', 'iot', 'sharing-economy', 'real-world-assets', 'layer-1', 'dwf-labs-portfolio', 'depin', 'move-vm', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing']",,3866492557.0,4600000000.0,False,,97,3866492557.0,584180639.2142673,,2025-07-01T18:25:00.000Z,0.15108800304209852,11210877.89522811,-7.8476,-1.06638868,-5.43044395,-6.87755987,-17.09939603,-30.30244078,-12.47656356,584180639.2142673,0.0179,695004813.99,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
33824,Maple Finance,SYRUP,maple-finance,127,2024-11-06T06:16:40.000Z,"['defi', 'dao', 'ethereum-ecosystem', 'framework-ventures-portfolio', 'real-world-assets', 'circle-ventures-portfolio', 'base-ecosystem', 'binance-ecosystem', 'binance-listing']",,1113467280.4506414,1189633000.0542712,True,,98,1069174126.22,546831423.8224953,,2025-07-01T18:25:00.000Z,0.5114521670626135,108759502.6303134,19.1596,-1.07434125,-8.66525173,-5.94070438,43.72978621,201.15796785,307.95521927,569485253.5397954,0.0175,608440375.89,,2025-07-01T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
28177,Pyth Network,PYTH,pyth-network,349,2023-11-20T09:42:13.000Z,"['defi', 'oracles', 'solana-ecosystem', 'cross-chain', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",10000000000.0,5749986072.355876,9999986072.355877,False,,99,1500000000.0,146872632.03257862,,2025-07-01T18:26:00.000Z,0.09791508802171907,38897332.12457193,-55.6526,-0.73294953,-7.28357647,1.93119179,-17.97110631,-35.12122543,-32.41250543,563010392.3983843,0.0173,979150880.22,,2025-07-01T18:26:00.000Z,5426.0,Solana,SOL,solana,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
9481,Pendle,PENDLE,pendle,475,2021-04-29T00:00:00.000Z,"['defi', 'ethereum-ecosystem', 'olympus-pro-ecosystem', 'arbitrum-ecosystem', 'spartan-group', 'bitcoin-ecosystem', 'real-world-assets', 'restaking', 'eigenlayer-ecosystem', 'cmc-crypto-yearbook-2024-2025', 'btcfi', 'binance-ecosystem', 'binance-listing']",,164710124.7899907,281527448.45853144,False,,100,,,0.11638723,2025-07-01T18:25:00.000Z,3.4079581250285984,31542039.90053859,-35.0269,-0.49826245,-1.50897612,-3.2817856,-16.52370119,-5.31571125,7.12251532,561325208.0525231,0.0172,959433755.39,4822910802.31178,2025-07-01T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0x808507121b80c02388fad14726482e061b8da827,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
